feature,importance
goals_scored_diff,0.136248363996472
away_goals_conceded_avg,0.13355838274812862
away_goals_scored_avg,0.1296963627386064
home_goals_scored_avg,0.12806566349030363
away_away_points_avg,0.12249527232476445
home_home_goals_scored_avg,0.12081814836279178
home_goals_conceded_avg,0.07791325239713562
away_points_avg,0.07528336585962381
home_home_goals_conceded_avg,0.07318117582409568
away_away_goals_conceded_avg,0.06429565258837036
home_points_avg,0.05670797541716119
goals_conceded_diff,0.03848618394966342
home_home_points_avg,0.03568190749648083
away_away_goals_scored_avg,0.020597961823370245
points_diff,0.01937630568353801
